N,Function 1 (s),Function 2 (s)
1,2.3008277639746667e-05,2.9957853257656096e-06
2,1.995800994336605e-06,3.1624920666217802e-06
3,2.27498821914196e-06,3.6749988794326782e-06
4,2.354104071855545e-06,3.962498158216476e-06
5,2.6332912966609e-06,4.449998959898948e-06
6,2.9084039852023125e-06,4.979106597602367e-06
7,3.0499882996082307e-06,5.24579081684351e-06
8,3.3082906156778336e-06,5.945796146988869e-06
9,3.7125078961253167e-06,6.816699169576168e-06
10,4.079099744558334e-06,7.92909413576126e-06
11,4.820805042982102e-06,8.966587483882903e-06
12,5.308305844664574e-06,9.941612370312214e-06
13,5.741696804761887e-06,1.1175009422004224e-05
14,6.441702134907246e-06,1.3220799155533314e-05
15,6.891693919897079e-06,1.4091702178120613e-05
16,7.770908996462823e-06,1.580410171300173e-05
17,8.454080671072006e-06,1.7316709272563457e-05
18,9.23748593777418e-06,2.005831338465214e-05
19,1.0054209269583225e-05,2.0183296874165536e-05
20,1.0558310896158218e-05,2.1679210476577282e-05
21,1.1395802721381187e-05,3.5158288665115836e-05
22,1.2545799836516381e-05,2.544999588280916e-05
23,1.3291602954268456e-05,2.7249986305832864e-05
24,1.4487514272332192e-05,2.9324996285140513e-05
25,1.5287497080862523e-05,3.2275007106363775e-05
26,1.6266689635813235e-05,3.3587496727705005e-05
27,1.7466582357883452e-05,3.5829097032546994e-05
28,1.860000193119049e-05,3.8220896385610104e-05
29,1.9754189997911455e-05,4.061248619109392e-05
30,2.1016714163124563e-05,4.831249825656414e-05
31,2.305828966200352e-05,4.858749452978373e-05
32,2.4137506261467934e-05,4.828330129384995e-05
33,2.417920622974634e-05,4.992079921066761e-05
34,2.764998935163021e-05,5.3012510761618614e-05
35,2.6891706511378288e-05,5.5374996736645696e-05
36,2.875421196222305e-05,6.36459095403552e-05
37,3.072910476475954e-05,6.3699996098876e-05
38,3.2533402554690837e-05,6.823749281466007e-05
39,3.414170350879431e-05,7.007909007370472e-05
40,3.605829551815987e-05,7.171251345425845e-05
41,3.6070821806788445e-05,7.798750884830951e-05
42,3.846250474452973e-05,7.735418621450663e-05
43,3.938749432563782e-05,8.359591010957957e-05
44,4.1137496009469035e-05,8.994161617010832e-05
45,4.650000482797623e-05,8.887080475687981e-05
46,4.6945805661380294e-05,0.00010379999876022338
47,4.870831035077572e-05,0.0001007207902148366
48,5.019169766455889e-05,0.0001041332958266139
49,5.346250254660845e-05,0.0001112709054723382
50,6.079999729990959e-05,0.00011670421808958053
51,6.575831212103367e-05,0.00011442911345511675
52,5.721661727875471e-05,0.0001171416137367487
53,5.962499417364597e-05,0.00012098751030862332
