N,Function 1 (s),Function 2 (s),Function 3 (s)
1,3.370421472936869e-05,3.0291033908724784e-06,1.8500024452805519e-06
2,2.050003968179226e-06,3.312481567263603e-06,1.924997195601463e-06
3,2.408307045698166e-06,3.9709033444523815e-06,2.1790852770209313e-06
4,2.6957830414175986e-06,4.587485454976558e-06,2.466607838869095e-06
5,3.3125048503279687e-06,5.412520840764045e-06,2.887495793402195e-06
6,3.641704097390175e-06,6.262492388486862e-06,3.254110924899578e-06
7,4.1707884520292285e-06,7.216702215373516e-06,3.704102709889412e-06
8,5.254196003079414e-06,8.574989624321461e-06,4.312512464821338e-06
9,5.899998359382152e-06,9.566685184836387e-06,4.754192195832729e-06
10,6.145797669887543e-06,1.0795798152685165e-05,5.304208025336266e-06
11,7.070787250995636e-06,1.3033393770456314e-05,6.204098463058472e-06
12,8.124997839331627e-06,1.4637503772974014e-05,6.9374917075037955e-06
13,9.279209189116955e-06,1.676250249147415e-05,7.845903746783734e-06
14,1.0220799595117569e-05,1.8574995920062065e-05,8.849985897541046e-06
15,1.159999519586563e-05,2.0645884796977042e-05,9.845802560448647e-06
16,1.2979190796613693e-05,2.305419184267521e-05,1.0875007137656213e-05
17,1.4083296991884709e-05,2.5216583162546156e-05,1.191671472042799e-05
18,1.5583308413624764e-05,2.7887499891221522e-05,1.311670057475567e-05
19,1.72249972820282e-05,5.09750097990036e-05,3.422091249376536e-05
20,4.372501280158758e-05,8.013751357793808e-05,3.705001436173916e-05
21,4.7874986194074154e-05,8.559999987483025e-05,3.6520790308713914e-05
22,4.395418800413608e-05,6.698751822113991e-05,2.1441699936985968e-05
23,2.803751267492771e-05,5.011248867958784e-05,2.3300014436244965e-05
24,3.519158344715834e-05,5.657919682562351e-05,4.289590287953615e-05
25,5.710830446332693e-05,9.83749981969595e-05,4.7691701911389825e-05
26,6.0820812359452246e-05,0.00010184170678257942,4.416669253259897e-05
27,5.660420283675194e-05,0.00010305419564247132,3.849579952657223e-05
28,3.6558392457664014e-05,7.041660137474537e-05,3.304579295217991e-05
29,4.247920587658882e-05,7.384170312434435e-05,3.5445811226964e-05
30,4.491249565035105e-05,7.810001261532307e-05,3.7691602483391764e-05
31,4.75333072245121e-05,8.37292056530714e-05,3.995418082922697e-05
32,5.0879199989140034e-05,8.811249863356352e-05,4.267499316483736e-05
33,5.3412490524351595e-05,0.0001244042068719864,6.438330747187138e-05
34,6.934590637683869e-05,0.00011983748991042375,5.761659704148769e-05
35,7.255831733345985e-05,0.00012507080100476742,6.146251689642668e-05
36,7.755409460514784e-05,0.0001325207995250821,6.487921345978975e-05
37,9.119580499827862e-05,0.0001356916967779398,6.134170107543468e-05
38,8.034168276935816e-05,0.0001365375006571412,6.455001421272755e-05
39,8.030841127038002e-05,0.0001386874821037054,6.805001758038997e-05
40,8.530418854206801e-05,0.00014667077921330928,7.33792083337903e-05
41,8.229170925915242e-05,0.0001405916176736355,6.819998379796744e-05
42,8.627499919384718e-05,0.00014703329652547835,7.214578799903393e-05
43,8.975828532129527e-05,0.0001534125069156289,7.493749726563692e-05
44,8.717922028154135e-05,0.0001496083103120327,7.311250083148479e-05
45,9.092499967664481e-05,0.00015847920440137386,7.741251029074192e-05
46,9.538750164210797e-05,0.00016296668909490108,7.805421482771635e-05
47,9.505830239504575e-05,0.0001617959002032876,7.931250147521495e-05
48,9.853329975157976e-05,0.0001715542050078511,8.445419371128082e-05
49,0.00011028749868273735,0.00017430000007152558,8.564998861402274e-05
50,0.00010498329065740108,0.0001807499909773469,9.544577915221453e-05
51,0.00011082501150667667,0.00019034158904105425,9.287919383496046e-05
52,0.00011312079150229692,0.0001951624872162938,9.446251206099988e-05
53,0.00011674580164253712,0.00019965830724686385,9.936660062521696e-05
54,0.00012167920358479023,0.00020717910956591368,0.00010229998733848333
55,0.00012637919280678034,0.00021585000213235616,0.00010480410419404507
56,0.00013097079936414958,0.000223754090256989,0.0001092459075152874
57,0.00013467499520629643,0.0002278458094224334,0.00011478341184556484
58,0.00013978329952806233,0.00023935418576002122,0.00011749158147722483
59,0.00014585410244762897,0.00024363750126212835,0.00012151668779551983
60,0.0001509249908849597,0.00025764999445527793,0.00012656659819185734
61,0.00015635001473128795,0.00026565419975668194,0.00013026248198002576
62,0.0001574666937813163,0.00026744999922811985,0.00013519171625375748
63,0.00016712078358978034,0.00028128328267484903,0.00013817909639328717
64,0.0001710207900032401,0.00028663340490311386,0.00014180419966578484
65,0.00017557081300765276,0.00029764170758426187,0.0001467541791498661
66,0.00018144161440432073,0.0003304457990452647,0.00015269999857991934
67,0.00018683751113712788,0.00030698750633746387,0.00014778340701013804
68,0.00019842919427901507,0.00033187500666826965,0.0001618708949536085
69,0.0002015999983996153,0.00033675418235361575,0.00016992080491036178
70,0.00020022920798510314,0.0003493583993986249,0.00017147909384220838
71,0.00021181670017540456,0.00035617081448435783,0.00017620418220758437
72,0.00021312921307981014,0.00036222918424755335,0.00018839160911738874
73,0.0002313041128218174,0.00036920418497174976,0.0001844374928623438
74,0.00022350831422954798,0.0003793541807681322,0.00018967499490827323
75,0.00022837920114398002,0.0004001541994512081,0.00019664589781314134
76,0.0002392709022387862,0.0004145291168242693,0.0002026249887421727
77,0.00024066658224910497,0.00041257499251514675,0.00020729580428451299
78,0.0002489292062819004,0.0004216207889840007,0.00021484999451786279
79,0.000268299994058907,0.00042974590323865416,0.00022141248919069768
80,0.0002653250005096197,0.00045479161199182274,0.00022352091036736965
81,0.00026718331500887873,0.0004651583032682538,0.00022681250702589751
82,0.0002901166910305619,0.000471754209138453,0.00023249168880283831
83,0.00029070419259369373,0.0004904290894046426,0.00023904580157250166
84,0.00029413329903036354,0.0004785500001162291,0.00023047500289976596
85,0.0002868375042453408,0.0004791792016476393,0.0002381832804530859
86,0.0002968457993119955,0.0005022667115554214,0.00024957498535513876
87,0.000304379197768867,0.0005142916925251484,0.00025412500835955145
88,0.0003126292023807764,0.0005266749998554587,0.0002605666872113943
89,0.0003198791993781924,0.0005368542158976197,0.0002581875072792172
90,0.00032629170455038546,0.0005517875077202916,0.00027202919591218233
91,0.0003304457990452647,0.0005600208882242441,0.0002765625016763806
92,0.0003377333981916308,0.0005729208001866937,0.00028473329730331897
93,0.00034589169081300497,0.000587804103270173,0.00028905840590596197
94,0.0003516416996717453,0.0005994084058329463,0.00029727499932050703
95,0.00036075832322239875,0.0006146749947220087,0.0003017042065039277
96,0.0003700083121657372,0.0006258624838665128,0.00030760420486330986
97,0.0003881040960550308,0.0006592374993488193,0.00032265421468764545
98,0.00039753341116011143,0.0006731667090207338,0.0003273624926805496
99,0.000409754179418087,0.0006881874985992908,0.00034028750378638505
100,0.0004133624956011772,0.0006776457885280252,0.00032618329860270026
101,0.0004076708108186722,0.0006922458996996284,0.000351191614754498
102,0.00042186668142676356,0.0007056874921545387,0.00034075421281158923
103,0.00042090839706361295,0.0007236666977405548,0.0003520541824400425
104,0.0004359749844297767,0.0007387000136077404,0.0003578667063266039
105,0.00043094169814139605,0.0007352750049903989,0.0003585624974220991
106,0.0004384749801829457,0.0007439875043928623,0.0003777709091082215
107,0.00047318339347839354,0.0007924207951873541,0.0003996750107035041
108,0.00048534588422626256,0.0008193458896130323,0.0004050292074680328
109,0.0004949291935190559,0.0008433709153905511,0.00038809578400105237
110,0.00047204589936882256,0.0008304666029289365,0.00041349169332534076
111,0.0005004415987059474,0.0008399834157899022,0.00041751251555979254
112,0.0005058083916082978,0.0008551625069230795,0.0004258042201399803
113,0.0005181250162422657,0.0008754834067076445,0.0004287166055291891
114,0.0005214832955971361,0.0008826249977573752,0.0004344708053395152
115,0.000530016585253179,0.0008963416097685694,0.0004418333061039448
116,0.0005398791981860995,0.0009100208058953285,0.00045094999950379133
117,0.0005573208909481764,0.0009536291006952524,0.00046983330976217984
118,0.0005923459073528647,0.0009548166068270803,0.00047797090373933313
119,0.0005836499854922295,0.0009761332999914885,0.00048362920060753824
120,0.0005755916005000472,0.0009774208068847657,0.0004885625094175339
121,0.0005863791098818183,0.000998137495480478,0.0004940166138112545
122,0.0005996374879032373,0.0010157665936276316,0.0005043917102739215
123,0.0006098124897107482,0.0010072041070088745,0.0005071124993264675
124,0.0006153624970465898,0.0010412000119686127,0.000521424994803965
125,0.000626758299767971,0.0010617542080581187,0.0005249999929219484
126,0.0006282374961301684,0.0010706958128139377,0.0005361249903216958
127,0.0006497416878119111,0.001100233313627541,0.0005444708047434687
128,0.0006633542012423277,0.0011269957991316914,0.0005581417120993137
129,0.0006803042022511363,0.0011503958143293858,0.0005698582855984569
130,0.000706695788539946,0.0011711624916642903,0.000553033291362226
131,0.0007167042000219226,0.0011913541937246918,0.0005798290949314833
132,0.0007000624900683761,0.0011865749955177307,0.0005902915960177779
133,0.0007084500044584275,0.001189266610890627,0.0005830999929457903
134,0.0006987917004153132,0.001216399995610118,0.0006055457983165979
135,0.0007194667123258114,0.0012234959052875639,0.0006132583133876323
136,0.0007446333067491651,0.0012785166036337614,0.0006065292051061988
137,0.0007808082969859243,0.0012944208923727275,0.0006515959044918418
138,0.0007748459000140428,0.001274570799432695,0.0006349541014060378
139,0.0007778792176395654,0.00130561669357121,0.0006304000038653612
140,0.0007884459104388952,0.0013227834133431315,0.0006541791837662459
141,0.0007970625068992376,0.0013423083117231726,0.0006681249942630529
142,0.0008065375033766032,0.0013590124901384116,0.0006774957990273833
143,0.0008253541076555848,0.0014201957965269685,0.0007097166962921619
144,0.000853116693906486,0.0014425165951251983,0.0006993666989728809
145,0.0008388875052332878,0.0014165541855618359,0.0007117667002603412
146,0.0008556541986763477,0.0014340084046125412,0.0007155125029385089
147,0.0008697499986737966,0.0014512124937027693,0.0007206959184259176
148,0.0008728124899789691,0.0014716875040903688,0.0007284083869308234
149,0.0008858458139002323,0.0014961167005822062,0.000737862498499453
150,0.0009108667029067874,0.0015398416901007295,0.0007515917066484689
151,0.0009385750163346529,0.0015880290884524584,0.0007810250157490372
152,0.0009147082921117545,0.0015697292052209376,0.0007552667055279016
153,0.0009102791082113981,0.0015382332960143686,0.0007698083994910121
154,0.0009523416170850396,0.0016014500055462123,0.0007975333137437701
155,0.0009553625015541912,0.0016732499934732914,0.0008173624984920025
156,0.0009697374887764453,0.0017418707953765987,0.0008177041076123714
157,0.000988041702657938,0.0016584916971623897,0.0008424917003139853
158,0.0009979166788980365,0.0017236166866496205,0.0008579790825024247
159,0.0010104208020493388,0.0017549458891153336,0.0008998708799481392
160,0.0010374999837949872,0.001798620820045471,0.0008615040918812156
161,0.001035633310675621,0.001749304193072021,0.0008716125041246415
